user_key,movie_key,date_key,time_key,rating
1,1291,20081103,185329,5
1,1293,20081103,183722,2
1,1376,20081103,183219,3
1,1396,20081103,183214,3
1,1537,20081103,192447,4
1,1909,20081103,183517,3
1,1959,20081103,184310,4
1,1960,20081103,183925,4
1,2028,20081103,185647,5
1,2085,20081103,183934,4
1,2116,20081103,184259,4
1,2336,20081103,183711,4
1,2571,20081103,191637,2
1,2671,20081103,193739,4
1,2762,20081103,185657,5
1,2804,20081103,185744,3
1,2908,20081103,191112,4
1,3363,20081103,183915,3
1,3578,20081103,190149,5
1,4246,20081103,193445,4
1,4306,20081103,185956,4
1,4699,20081103,193515,4
1,4886,20081103,185349,5
1,4896,20081103,183156,4
1,4993,20081103,185859,4
1,4995,20081103,184943,5
1,5952,20081103,185919,4
1,6539,20081103,190842,4
1,7064,20081103,192042,4
1,7122,20081103,191610,4
1,7139,20081103,185308,3
1,7153,20081103,185909,5
1,7162,20081103,193535,4
1,7366,20081103,193808,4
1,7706,20081103,185733,4
1,8132,20081105,70524,5
1,8533,20081103,193359,5
1,8644,20081103,183951,4
1,8961,20081103,190203,4
1,8969,20081103,193447,4
1,8981,20081103,193639,4
1,33166,20081103,191156,5
1,33794,20081103,190055,3
1,40629,20081103,185945,4
1,49647,20081103,193239,5
1,52458,20081103,193309,5
1,53996,20081103,194026,5
1,54259,20081103,185703,4
2,1,19960626,210611,5
2,2,19960626,211227,3
2,6,19960626,212405,4
2,10,19960626,210516,3
2,11,19960626,211147,3
2,17,19960626,211501,5
2,19,19960626,210657,3
2,21,19960626,210657,5
2,25,19960626,212001,3
2,31,19960626,212001,3
2,34,19960626,210657,5
2,36,19960626,212404,5
2,39,19960626,210846,3
2,47,19960626,210657,5
2,48,19960626,211926,2
2,50,19960626,210747,4
2,52,19960626,212405,3
2,58,19960626,212405,3
2,95,19960626,211548,2
2,110,19960626,210609,5
2,111,19960626,210953,3
2,141,19960626,211548,5
2,150,19960626,205913,5
2,151,19960626,211227,5
2,153,19960626,210117,3
2,158,19960626,211625,3
2,160,19960626,210844,1
2,161,19960626,210357,3
2,165,19960626,210115,4
2,168,19960626,211625,3
2,172,19960626,211548,2
2,173,19960626,211046,2
2,185,19960626,210516,3
2,186,19960626,211227,3
2,204,19960626,211501,3
2,208,19960626,210516,3
2,224,19960626,212001,3
2,225,19960626,210657,3
2,231,19960626,210218,4
2,235,19960626,211502,3
2,236,19960626,211046,2
2,252,19960626,211227,3
2,253,19960626,210516,2
2,256,19960626,211625,3
2,261,19960626,211548,4
2,265,19960626,211625,2
2,266,19960626,210847,4
2,282,19960626,211046,1
2,288,19960626,210612,1
2,292,19960626,210355,3
2,293,19960626,211502,3
2,296,19960626,205914,5
2,300,19960626,210608,4
2,315,19960626,211046,3
2,317,19960626,210748,3
2,318,19960626,210218,5
2,333,19960626,211926,3
2,337,19960626,211147,3
2,339,19960626,210356,5
2,344,19960626,210117,3
2,349,19960626,210116,4
2,350,19960626,211501,3
2,356,19960626,210841,5
2,357,19960626,211716,5
2,364,19960626,210748,4
2,367,19960626,210953,4
2,377,19960626,211227,4
2,380,19960626,205915,4
2,420,19960626,210748,2
2,432,19960626,210953,3
2,434,19960626,210356,4
2,440,19960626,211147,3
2,442,19960626,211717,3
2,454,19960626,210748,3
2,457,19960626,210516,5
2,480,19960626,210953,3
2,500,19960626,211548,4
2,509,19960626,211716,3
2,527,19960626,211625,5
2,539,19960626,211717,5
2,553,19960626,211147,3
2,586,19960626,212001,4
2,587,19960626,211926,4
2,588,19960626,210116,4
2,589,19960626,211046,4
2,590,19960626,205912,5
2,592,19960626,205911,3
2,593,19960626,210352,5
2,595,19960626,210218,4
2,597,19960626,211926,5
2,786,19960626,212523,4
3,296,20180905,205828,5
3,318,20180905,205723,5
3,858,20180905,205729,5
3,2959,20180905,205720,5
3,3114,20180905,210425,5
3,3751,20180905,210358,5
3,4886,20180905,210429,5
3,6377,20180905,210437,5
3,8961,20180905,210304,5
3,60069,20180905,205838,5
3,68954,20180905,205843,5
3,69844,20180905,210301,5
3,74458,20180905,205844,5
3,76093,20180905,210142,5
3,79132,20180905,205725,5
3,81834,20180905,210255,5
3,88125,20180905,210144,5
3,99114,20180905,205835,5
3,109487,20180905,210134,5
3,112556,20180905,210033,5
3,115617,20180905,210043,5
3,115713,20180905,210022,4
3,116797,20180905,205832,5
3,119145,20180905,210325,5
3,134853,20180905,210029,5
3,152081,20180905,210042,5
3,176101,20180905,210333,5
3,177765,20180905,205738,5
3,185029,20180905,210317,5
3,187593,20180905,210404,3
4,260,20150917,40519,5
4,318,20150917,40559,5
4,356,20150917,40409,5
4,595,20150917,41531,4
4,858,20150917,40737,3
4,915,20150917,40909,4
4,1097,20150917,40853,4
4,2324,20150917,40607,5
4,2858,20150917,40726,4
4,4306,20150917,40745,4
4,5618,20150919,194944,5
4,5995,20150917,40702,5
4,8368,20150917,40815,4
4,8533,20150917,40935,4
4,40629,20150917,40903,5
